Data_Set,Chain,Step,b,R_0,omega,rho,sigma
0,0,300050,0.0081402,2.5324,0.00397276,0.280735,0.109959
0,1,300050,0.00733266,3.88987,0.0367452,0.227908,0.0349573
0,2,300050,0.00849525,2.60215,0.00467407,0.0512132,0.0516787
0,3,300050,0.00695437,3.25139,0.00551064,0.0755292,0.154839
0,4,300050,0.00500106,4.1259,0.00750821,0.0918842,0.0174823
0,0,300100,0.00820304,2.87499,0.026847,0.298388,0.106499
0,1,300100,0.006901,3.2765,0.015868,0.240037,0.0870914
0,2,300100,0.00921073,2.91099,0.00998928,0.0612448,0.0139632
0,3,300100,0.00695437,3.25139,0.00551064,0.0755292,0.154839
0,4,300100,0.00513674,4.1876,0.00375528,0.06499,0.141019
0,0,300150,0.00809182,2.58438,0.00936373,0.257106,0.137829
0,1,300150,0.00743284,2.78395,0.00267702,0.263011,0.0114412
0,2,300150,0.00757426,2.98819,0.00690555,0.0395337,0.038512
0,3,300150,0.00745744,2.66885,0.00306241,0.0928761,0.0337309
0,4,300150,0.0054156,3.30324,0.00177085,0.0162441,0.0399612
0,0,300200,0.00935277,2.25233,0.0158423,0.236231,0.0916581
0,1,300200,0.00664728,3.47191,0.0147816,0.233234,0.0492173
0,2,300200,0.00810231,2.51934,0.00263108,0.0849462,0.155747
0,3,300200,0.0075558,2.88841,0.00282548,0.0605221,0.103341
0,4,300200,0.0054156,3.30324,0.00177085,0.0162441,0.0399612
0,0,300250,0.00794805,2.71238,0.00363522,0.288951,0.157423
0,1,300250,0.00514302,4.39771,0.0085347,0.175563,0.187457
0,2,300250,0.0115207,2.08302,0.0117003,0.244841,0.0405377
0,3,300250,0.0075558,2.88841,0.00282548,0.0605221,0.103341
0,4,300250,0.00716937,3.62498,0.0192788,0.0712627,0.0500531
0,0,300300,0.00572375,3.64502,0.0190047,0.251625,0.0866288
0,1,300300,0.00536181,4.04683,0.00930372,0.160518,0.031143
0,2,300300,0.00963849,2.69992,0.0122357,0.282225,0.151944
0,3,300300,0.0075558,2.88841,0.00282548,0.0605221,0.103341
0,4,300300,0.0058231,3.38204,0.00951825,0.104516,0.0166813
0,0,300350,0.00674184,3.1651,0.0160321,0.238191,0.0199821
0,1,300350,0.00516708,3.42846,0.00438303,0.120223,0.0105695
0,2,300350,0.00780448,3.04129,0.0218279,0.309635,0.138241
0,3,300350,0.0075558,2.88841,0.00282548,0.0605221,0.103341
0,4,300350,0.00881433,2.67405,0.00485011,0.10403,0.0882192
0,0,300400,0.00674184,3.1651,0.0160321,0.238191,0.0199821
0,1,300400,0.00516708,3.42846,0.00438303,0.120223,0.0105695
0,2,300400,0.00742459,2.68546,0.0209951,0.370192,0.0588175
0,3,300400,0.00623572,2.89121,0.000687823,0.0492135,0.0798395
