"Animal_ID","Town","Date","Season","MitoGenomeSpecies","Sex","Weight_g","Tail_mm","Body_W_Tail_mm","Body_WO_Tail_mm","Pred_ELW","Pred_Age","TotalReads","CMV1M44_Reads","CMV1M69_Reads","CMV1m128_Reads","CMV2M44_Reads","CMV2M69_Reads","CMV2m128_Reads","CMV3M44_Reads","CMV3M69_Reads","CMV3m128_Reads","CMV1_Binary","CMV2_Binary","CMV3_Binary","CoI_Binary"
"SL00106","Bafodia","2019-09-07","Wet","Mastomys natalensis","Male",46,116,250,134,25.8575632197144,216.154720356681,418474142,8,6,6,1614588,2584740,2169768,2906,2298,2044,0,1,1,1
"SL00107","Bafodia","2019-09-07","Wet","Mastomys natalensis","Male",42,104,234,130,24.7213316198109,189.694698465198,25315166,0,0,0,0,0,0,0,0,0,0,0,0,0
"SL00108","Bafodia","2019-09-07","Wet","Mastomys natalensis","Female",51,100,242,142,28.1300264195215,280.662109475879,22889120,0,0,0,1498,2420,1758,24,6,10,0,1,1,1
"SL00109","Bafodia","2019-09-07","Wet","Mastomys natalensis","Male",51,88,220,132,25.2894474197626,202.492973951912,13665696,0,0,0,210,356,274,14,10,2,0,1,1,1
"SL00113","Bafodia","2019-09-06","Wet","Mastomys natalensis","Female",31,100,220,120,21.880752620052,136.86152258622,18136146,0,0,0,0,0,0,0,0,0,0,0,0,0
"SL00114","Bafodia","2019-09-07","Wet","Mastomys natalensis","Male",40,90,200,110,19.0401736202931,98.7432780998613,19040988,0,0,0,228,310,242,4,10,2,0,1,1,1
"SL00115","Bafodia","2019-09-07","Wet","Mastomys natalensis","Male",51,120,250,130,24.7213316198109,189.694698465198,18788732,0,0,0,576,886,754,950,1594,1280,0,1,1,1
"SL00117","Bafodia","2019-09-07","Wet","Mastomys natalensis","Female",51,101,230,129,24.437273719835,183.602170444192,19589022,0,0,0,386,566,430,122,150,96,0,1,1,1
"SL00118","Bafodia","2019-09-07","Wet","Mastomys natalensis","Male",30,110,220,110,19.0401736202931,98.7432780998613,20697764,0,0,0,40,60,44,14,14,6,0,1,1,1
"SL00119","Bafodia","2019-09-07","Wet","Mastomys natalensis","Male",47,112,221,109,18.7561157203172,95.5718864185083,14817702,0,0,0,2062,3714,2542,30,100,50,0,1,1,1
"SL00120","Bafodia","2019-09-07","Wet","Mastomys natalensis","Male",46,116,223,107,18.1879999203655,89.5314035943511,15942046,0,0,0,4474,8556,5972,70,78,58,0,1,1,1
"SL00121","Bafodia","2019-09-07","Wet","Mastomys natalensis","Male",50,117,250,133,25.5735053197385,209.212361390928,21981870,0,0,0,0,0,2,0,0,0,0,0,0,0
"SL00122","Bafodia","2019-09-07","Wet","Mastomys natalensis","Female",31,100,210,110,19.0401736202931,98.7432780998613,16594014,0,0,0,12,14,18,0,0,0,0,1,0,0
"SL00123","Bafodia","2019-09-07","Wet","Mastomys natalensis","Male",51,110,220,110,19.0401736202931,98.7432780998613,19077044,0,0,0,124,236,156,178,300,226,0,1,1,1
"SL00124","Bafodia","2019-09-07","Wet","Mastomys natalensis","Female",46,118,225,107,18.1879999203655,89.5314035943511,20235204,0,0,0,0,0,0,0,0,0,0,0,0,0
"SL00125","Bafodia","2019-09-07","Wet","Mastomys natalensis","Female",51,100,220,120,21.880752620052,136.86152258622,15428178,0,0,0,134,208,136,12,32,30,0,1,1,1
"SL00128","Bafodia","2019-09-07","Wet","Mastomys natalensis","Female",46,111,220,109,18.7561157203172,95.5718864185083,43710176,0,2,0,22,38,18,0,0,2,0,1,0,0
